RoutePair,TotalPax,cumulative_pax,cumulative_pct,route_rank
CHENNAI - GUWAHATI,2854282.0,1042896230.0,77.14997327844905,116
HYDERABAD - VIJAYAWADA,2793836.0,1045690066.0,77.35665191678717,117
GOA - HYDERABAD,2783381.0,1048473447.0,77.5625571292106,118
HYDERABAD - LUCKNOW,2700699.0,1051174146.0,77.7623458039507,119
KOLKATA - LUCKNOW,2693556.0,1053867702.0,77.96160606345322,120
AMRITSAR - MUMBAI,2688906.0,1056556608.0,78.16052233151592,121
HYDERABAD - INDORE,2580713.0,1059137321.0,78.3514348434821,122
HYDERABAD - RAJAHMUNDRY,2522884.0,1061660205.0,78.53806935953996,123
DELHI - GORAKHPUR,2501145.0,1064161350.0,78.72309569712249,124
MUMBAI - RANCHI,2499509.0,1066660859.0,78.90800100889952,125
CHENNAI - VISAKHAPATNAM,2454687.0,1069115546.0,79.08959053910327,126
MUMBAI - SRINAGAR,2407903.0,1071523449.0,79.26771914553912,127
KOLKATA - SILCHAR,2389416.0,1073912865.0,79.44448014557753,128
DELHI - JODHPUR,2332112.0,1076244977.0,79.61700198745086,129
JODHPUR - MUMBAI,2287205.0,1078532182.0,79.78620175973533,130
HYDERABAD - RAIPUR,2276584.0,1080808766.0,79.9546158259806,131
JAIPUR - PUNE,2250038.0,1083058804.0,80.12106610797603,132
MUMBAI - RAJKOT,2248011.0,1085306815.0,80.28736643929439,133
HYDERABAD - PATNA,2198585.0,1087505400.0,80.4500104005257,134
DELHI - IMPHAL,2195145.0,1089700545.0,80.6123998820682,135
BENGALURU - VIJAYAWADA,2189975.0,1091890520.0,80.77440690431092,136
DELHI - MUMBAI (MUMBAI),2158296.0,1094048816.0,80.93407042014029,137
AGARTALA - GUWAHATI,2147041.0,1096195857.0,81.09290132873195,138
AHMEDABAD - DABOLIM,2145829.0,1098341686.0,81.25164257761932,139
DIBRUGARH - KOLKATA,2131045.0,1100472731.0,81.40929015565801,140
AHMEDABAD - JAIPUR,2058539.0,1102531270.0,81.56157398244166,141
AHMEDABAD - LUCKNOW,2012837.0,1104544107.0,81.71047692819674,142
BAGDOGRA - MUMBAI,1994377.0,1106538484.0,81.85801426492405,143
DELHI - VIJAYAWADA,1977238.0,1108515722.0,82.00428371578316,144
KOZHIKODE - MUMBAI,1973957.0,1110489679.0,82.1503104492414,145
KOLKATA - RANCHI,1922563.0,1112412242.0,82.29253522655806,146
CHENNAI - TIRUCHIRAPALLY,1905202.0,1114317444.0,82.43347569518939,147
KOLKATA - RAIPUR,1900420.0,1116217864.0,82.5740624074626,148
CHANDIGARH - SRINAGAR,1875936.0,1118093800.0,82.712837875346,149
AURANGABAD - MUMBAI,1854634.0,1119948434.0,82.85003749255173,150
MUMBAI - VISAKHAPATNAM,1836918.0,1121785352.0,82.98592653936007,151
DELHI - DIBRUGARH,1813792.0,1123599144.0,83.12010480207434,152
BHUBANESWAR - CHENNAI,1775809.0,1125374953.0,83.25147320955016,153
AHMEDABAD - GOA,1757339.0,1127132292.0,83.38147526823165,154
BENGALURU - RAIPUR,1742563.0,1128874855.0,83.5103842478777,155
DEHRADUN - DELHI,1738554.0,1130613409.0,83.63899665511897,156
AURANGABAD - DELHI,1640906.0,1132254315.0,83.76038539007725,157
CHENNAI - TUTICORIN,1635527.0,1133889842.0,83.88137620461512,158
GUWAHATI - HYDERABAD,1583513.0,1135473355.0,83.9985191974861,159
KOCHI - PUNE,1581094.0,1137054449.0,84.11548324083175,160
HYDERABAD - RANCHI,1550595.0,1138605044.0,84.2301910702154,161
CHENNAI - JAIPUR,1550052.0,1140155096.0,84.34485873027607,162
KOLKATA - VARANASI,1535071.0,1141690167.0,84.4584181460873,163
HYDERABAD - TRIVANDRUM,1509138.0,1143199305.0,84.57005912533745,164
CHANDIGARH - HYDERABAD,1482211.0,1144681516.0,84.67970813523273,165
BENGALURU - SURAT,1465693.0,1146147209.0,84.78813519876176,166
BENGALURU - KOZHIKODE,1441540.0,1147588749.0,84.89477550417338,167
KOLKATA - VISAKHAPATNAM,1431107.0,1149019856.0,85.00064401115668,168
DELHI - DHARAMSALA,1429115.0,1150448971.0,85.10636515664575,169
DEHRA DUN - MUMBAI,1424704.0,1151873675.0,85.21175999111522,170
AHMEDABAD - CHANDIGARH,1407062.0,1153280737.0,85.31584972945969,171
MADURAI - MUMBAI,1390064.0,1154670801.0,85.41868201264411,172
KOLKATA - NAGPUR,1348404.0,1156019205.0,85.51843242843434,173
DELHI - JABALPUR,1345115.0,1157364320.0,85.61793953501045,174
DIMAPUR - KOLKATA,1341312.0,1158705632.0,85.71716530837244,175
BENGALURU - PORT BLAIR,1294365.0,1159999997.0,85.81291809977199,176
LUCKNOW - PUNE,1288499.0,1161288496.0,85.90823694412079,177
AIZAWL - KOLKATA,1275050.0,1162563546.0,86.00256087645361,178
BENGALURU - MUMBAI (MUMBAI),1267215.0,1163830761.0,86.09630520170451,179
GORAKHPUR - MUMBAI,1249697.0,1165080458.0,86.18875360393542,180
BENGALURU - MADURAI,1245523.0,1166325981.0,86.2808932276137,181
GOA - PUNE,1241151.0,1167567132.0,86.3727094253619,182
AHMEDABAD - KOCHI,1220147.0,1168787279.0,86.46297181747524,183
BAGDOGRA - HYDERABAD,1220057.0,1170007336.0,86.55322755168974,184
DELHI - SHIRDI,1212964.0,1171220300.0,86.64295856949936,185
DELHI - PORT BLAIR,1201512.0,1172421812.0,86.73184240667052,186
DARBHANGA - DELHI,1182601.0,1173604413.0,86.81932727134307,187
MUMBAI - RAJKOT INTERNATIONAL AIRPORT,1181143.0,1174785556.0,86.9067042780545,188
HYDERABAD - MADURAI,1168058.0,1175953614.0,86.99311330025192,189
BAGDOGRA - GUWAHATI,1129479.0,1177083093.0,87.07666837712526,190
CHENNAI - DABOLIM,1127393.0,1178210486.0,87.16006913869893,191
AHMEDABAD - VARANASI,1101548.0,1179312034.0,87.24155797365707,192
DIBRUGARH - GUWAHATI,1101074.0,1180413108.0,87.32301174368133,193
KOLKATA - SURAT,1094798.0,1181507906.0,87.40400123622682,194
CHENNAI - GOA,1089975.0,1182597881.0,87.48463393937138,195
INDORE - RAIPUR,1073385.0,1183671266.0,87.56403936983065,196
INDORE - PUNE,1073042.0,1184744308.0,87.64341942629767,197
JAMMU - MUMBAI,1050003.0,1185794311.0,87.72109513463953,198
AGARTALA - DELHI,1047076.0,1186841387.0,87.79855431331592,199
