RoutePair,start_year,end_year,cagr_pct,span_years
CHENNAI - PORT BLAIR,2016.0,2025.0,2.03,9.0
CHENNAI - PUNE,2016.0,2025.0,-0.18,9.0
CHENNAI - RAIPUR,2016.0,2025.0,15.35,9.0
CHENNAI - RAJAHMUNDRY,2016.0,2025.0,5.52,9.0
CHENNAI - RANCHI,2018.0,2025.0,94.73,7.0
CHENNAI - SALEM,2018.0,2025.0,4.29,7.0
CHENNAI - SHIRDI,2019.0,2025.0,0.45,6.0
CHENNAI - SRINAGAR,2018.0,2024.0,-30.0,6.0
CHENNAI - SURAT,2019.0,2025.0,-2.38,6.0
CHENNAI - TIRUCHIRAPALLY,2016.0,2025.0,7.65,9.0
CHENNAI - TRIVANDRUM,2016.0,2025.0,0.08,9.0
CHENNAI - TUTICORIN,2016.0,2025.0,9.7,9.0
CHENNAI - VADODARA,2016.0,2023.0,0.83,7.0
CHENNAI - VARANASI,2018.0,2025.0,14.63,7.0
CHENNAI - VIJAYAWADA,2016.0,2025.0,3.51,9.0
CHENNAI - VISAKHAPATNAM,2016.0,2025.0,3.84,9.0
COIMBATORE - DELHI,2016.0,2025.0,7.65,9.0
COIMBATORE - HYDERABAD,2016.0,2025.0,9.33,9.0
COIMBATORE - KOLKATA,2016.0,2024.0,-18.23,8.0
COIMBATORE - MUMBAI,2016.0,2025.0,3.86,9.0
COIMBATORE - PUNE,2018.0,2025.0,10.72,7.0
COIMBATORE - VISAKHAPATNAM,2017.0,2023.0,-8.56,6.0
DEHRA DUN - DELHI,2016.0,2022.0,-1.23,6.0
DEHRA DUN - HYDERABAD,2016.0,2022.0,31.66,6.0
DEHRA DUN - MUMBAI,2016.0,2022.0,22.84,6.0
DELHI - DHARAMSALA,2016.0,2025.0,1.79,9.0
DELHI - DIBRUGARH,2016.0,2025.0,10.15,9.0
DELHI - DIMAPUR,2016.0,2025.0,17.68,9.0
DELHI - DURGAPUR,2019.0,2025.0,21.29,6.0
DELHI - GAYA,2016.0,2025.0,9.68,9.0
DELHI - GORAKHPUR,2016.0,2025.0,31.7,9.0
DELHI - GUWAHATI,2016.0,2025.0,3.09,9.0
DELHI - GWALIOR,2018.0,2025.0,29.38,7.0
DELHI - HYDERABAD,2016.0,2025.0,3.56,9.0
DELHI - IMPHAL,2016.0,2025.0,6.7,9.0
DELHI - INDORE,2016.0,2025.0,7.03,9.0
DELHI - JABALPUR,2016.0,2025.0,6.8,9.0
DELHI - JAIPUR,2016.0,2025.0,-2.62,9.0
DELHI - JAMMU,2016.0,2025.0,0.14,9.0
DELHI - JODHPUR,2016.0,2025.0,8.83,9.0
DELHI - KANNUR,2019.0,2025.0,20.99,6.0
DELHI - KANPUR,2019.0,2025.0,10.89,6.0
DELHI - KHAJURAHO,2016.0,2024.0,14.9,8.0
DELHI - KOCHI,2016.0,2025.0,2.94,9.0
DELHI - KOLKATA,2016.0,2025.0,0.37,9.0
DELHI - KOZHIKODE,2016.0,2025.0,15.01,9.0
DELHI - KULLU,2016.0,2025.0,-12.65,9.0
DELHI - LEH,2016.0,2025.0,8.24,9.0
DELHI - LUCKNOW,2016.0,2025.0,-4.27,9.0
DELHI - MADURAI,2016.0,2025.0,24.64,9.0
DELHI - MANGALORE,2016.0,2025.0,35.32,9.0
DELHI - MUMBAI,2016.0,2025.0,-0.16,9.0
DELHI - NAGPUR,2016.0,2025.0,5.98,9.0
DELHI - PANTNAGAR,2016.0,2025.0,23.6,9.0
DELHI - PATNA,2016.0,2025.0,1.52,9.0
DELHI - PORT BLAIR,2016.0,2025.0,3.13,9.0
DELHI - PUNE,2016.0,2025.0,2.98,9.0
DELHI - RAIPUR,2016.0,2025.0,5.45,9.0
DELHI - RAJKOT,2016.0,2022.0,46.15,6.0
DELHI - RANCHI,2016.0,2025.0,6.36,9.0
DELHI - SHIRDI,2019.0,2025.0,-2.12,6.0
DELHI - SILCHAR,2018.0,2024.0,-15.89,6.0
DELHI - SIMLA,2018.0,2025.0,-0.09,7.0
DELHI - SRINAGAR,2016.0,2025.0,3.76,9.0
DELHI - SURAT,2016.0,2025.0,16.42,9.0
DELHI - TIRUPATI,2016.0,2025.0,16.23,9.0
DELHI - TRIVANDRUM,2016.0,2025.0,6.06,9.0
DELHI - UDAIPUR,2016.0,2025.0,3.96,9.0
DELHI - VADODARA,2016.0,2025.0,3.94,9.0
DELHI - VARANASI,2016.0,2025.0,0.4,9.0
DELHI - VIJAYAWADA,2016.0,2025.0,10.0,9.0
DELHI - VISAKHAPATNAM,2016.0,2025.0,3.42,9.0
DIBRUGARH - GUWAHATI,2016.0,2025.0,19.56,9.0
DIBRUGARH - KOLKATA,2016.0,2025.0,4.97,9.0
DIMAPUR - KOLKATA,2016.0,2025.0,-0.13,9.0
DIU - MUMBAI,2016.0,2025.0,0.35,9.0
DURGAPUR - HYDERABAD,2019.0,2025.0,22.7,6.0
GUWAHATI - HYDERABAD,2016.0,2025.0,39.9,9.0
GUWAHATI - IMPHAL,2016.0,2025.0,2.18,9.0
GUWAHATI - JAIPUR,2016.0,2025.0,19.92,9.0
GUWAHATI - JORHAT,2016.0,2023.0,13.97,7.0
GUWAHATI - KOLKATA,2016.0,2025.0,0.96,9.0
GUWAHATI - LUCKNOW,2017.0,2025.0,19.29,8.0
GUWAHATI - MUMBAI,2016.0,2025.0,9.31,9.0
GUWAHATI - PUNE,2018.0,2025.0,18.27,7.0
GUWAHATI - SILCHAR,2016.0,2025.0,8.83,9.0
GUWAHATI - TEZPUR,2017.0,2023.0,25.01,6.0
GWALIOR - MUMBAI,2016.0,2025.0,25.02,9.0
HUBLI - MUMBAI,2018.0,2025.0,11.16,7.0
HYDERABAD - INDORE,2016.0,2025.0,16.19,9.0
HYDERABAD - JABALPUR,2017.0,2025.0,0.9,8.0
HYDERABAD - JAIPUR,2016.0,2025.0,11.19,9.0
HYDERABAD - KANNUR,2019.0,2025.0,-16.49,6.0
HYDERABAD - KOCHI,2016.0,2025.0,9.46,9.0
HYDERABAD - KOLHAPUR,2019.0,2025.0,-1.64,6.0
HYDERABAD - KOLKATA,2016.0,2025.0,6.56,9.0
HYDERABAD - KOZHIKODE,2018.0,2025.0,15.53,7.0
HYDERABAD - LUCKNOW,2016.0,2025.0,17.75,9.0
HYDERABAD - MADURAI,2016.0,2025.0,15.33,9.0
HYDERABAD - MANGALORE,2016.0,2025.0,19.92,9.0
HYDERABAD - MUMBAI,2016.0,2025.0,0.94,9.0
HYDERABAD - NAGPUR,2016.0,2025.0,11.15,9.0
HYDERABAD - NANDED,2018.0,2025.0,-8.41,7.0
HYDERABAD - PATNA,2018.0,2025.0,19.4,7.0
HYDERABAD - PORT BLAIR,2017.0,2025.0,16.69,8.0
HYDERABAD - PUNE,2016.0,2025.0,10.85,9.0
HYDERABAD - RAIPUR,2016.0,2025.0,6.24,9.0
HYDERABAD - RAJAHMUNDRY,2016.0,2025.0,3.53,9.0
HYDERABAD - RANCHI,2018.0,2025.0,9.06,7.0
HYDERABAD - SHIRDI,2018.0,2025.0,18.19,7.0
HYDERABAD - SURAT,2018.0,2025.0,5.74,7.0
HYDERABAD - TIRUPATI,2016.0,2025.0,7.52,9.0
HYDERABAD - TRIVANDRUM,2016.0,2025.0,23.29,9.0
HYDERABAD - UDAIPUR,2016.0,2025.0,54.46,9.0
HYDERABAD - VADODARA,2016.0,2025.0,29.5,9.0
HYDERABAD - VARANASI,2016.0,2025.0,16.8,9.0
HYDERABAD - VIDYANAGAR,2018.0,2024.0,-9.34,6.0
HYDERABAD - VIJAYAWADA,2016.0,2025.0,6.91,9.0
HYDERABAD - VISAKHAPATNAM,2016.0,2025.0,3.53,9.0
IMPHAL - KOLKATA,2016.0,2025.0,5.63,9.0
INDORE - JAIPUR,2018.0,2025.0,18.35,7.0
INDORE - KOLKATA,2016.0,2025.0,17.99,9.0
INDORE - LUCKNOW,2018.0,2025.0,12.86,7.0
INDORE - MUMBAI,2016.0,2025.0,0.87,9.0
INDORE - NAGPUR,2016.0,2025.0,6.3,9.0
INDORE - PUNE,2016.0,2025.0,14.87,9.0
INDORE - RAIPUR,2016.0,2025.0,8.81,9.0
JABALPUR - MUMBAI,2016.0,2025.0,10.46,9.0
JAIPUR - JODHPUR,2017.0,2024.0,42.92,7.0
JAIPUR - KOCHI,2018.0,2025.0,-1.88,7.0
JAIPUR - KOLKATA,2016.0,2025.0,8.61,9.0
JAIPUR - LUCKNOW,2018.0,2025.0,-6.93,7.0
JAIPUR - MUMBAI,2016.0,2025.0,0.39,9.0
JAIPUR - PUNE,2016.0,2025.0,2.88,9.0
JAIPUR - SURAT,2018.0,2025.0,5.23,7.0
JAIPUR - UDAIPUR,2016.0,2025.0,5.5,9.0
JAMMU - LEH,2016.0,2025.0,6.86,9.0
JAMMU - MUMBAI,2016.0,2025.0,-4.56,9.0
JAMMU - SRINAGAR,2016.0,2025.0,0.69,9.0
JAMNAGAR - MUMBAI,2016.0,2025.0,2.12,9.0
JODHPUR - MUMBAI,2016.0,2025.0,5.98,9.0
JORHAT - KOLKATA,2016.0,2025.0,14.4,9.0
KANDLA - MUMBAI,2018.0,2025.0,-6.34,7.0
KANNUR - KOCHI,2019.0,2025.0,-11.87,6.0
KANNUR - TRIVANDRUM,2019.0,2025.0,-6.71,6.0
KANPUR - MUMBAI,2019.0,2025.0,-4.92,6.0
KOCHI - KOLKATA,2016.0,2023.0,18.64,7.0
KOCHI - KOZHIKODE,2016.0,2025.0,8.17,9.0
KOCHI - MUMBAI,2016.0,2025.0,-0.69,9.0
KOCHI - PUNE,2016.0,2025.0,4.37,9.0
KOCHI - RAIPUR,2018.0,2025.0,-2.64,7.0
KOCHI - TRIVANDRUM,2016.0,2025.0,-8.55,9.0
KOLKATA - LILABARI,2019.0,2025.0,-1.62,6.0
KOLKATA - LUCKNOW,2016.0,2025.0,7.42,9.0
KOLKATA - MUMBAI,2016.0,2025.0,3.73,9.0
KOLKATA - NAGPUR,2016.0,2025.0,1.84,9.0
KOLKATA - PATNA,2016.0,2025.0,5.4,9.0
KOLKATA - PORT BLAIR,2016.0,2025.0,3.49,9.0
KOLKATA - PUNE,2016.0,2025.0,10.19,9.0
